gender,handle,state,party
F,GovernorKayIvey,Alabama,R
M,GovDunleavy,Alaska,R
M,dougducey,Arizona,R
M,AsaHutchinson,Arkansas,R
M,GavinNewsom,California,D
M,GovofCO,Colorado,D
M,GovNedLamont,Connecticut,D
F,MayorBowser,DC,D
M,JohnCarneyDE,Delaware,D
M,GovRonDeSantis,Florida,R
M,BrianKempGA,Georgia,R
M,GovHawaii,Hawaii,D
M,GovernorLittle,Idaho,R
M,GovPritzker,Illinois,D
M,GovHolcomb,Indiana,R
F,KimReynoldsIA,Iowa,R
F,GovLauraKelly,Kansas,D
M,GovAndyBeshear,Kentucky,D
M,LouisianaGov,Louisiana,D
F,GovJanetMills,Maine,D
M,LarryHogan,Maryland,R
M,MassGovernor,Massachussetts,R
F,GovWhitmer,Michigan,D
M,GovTimWalz,Minnesota,D
M,tatereeves,Mississippi,R
M,GovParsonMO,Missouri,R
M,GovernorBullock,Montana,D
M,GovRicketts,Nebraska,R
M,SteveSisolak,Nevada,D
M,GovChrisSununu,New Hampshire,R
M,GovMurphy,New Jersey,D
F,GovMLG,New Mexico,D
M,NYGovCuomo,New York,D
M,NC_Governor,North Carolina,D
M,DougBurgum,North Dakota,R
M,GovMikeDeWine,Ohio,R
M,GovStitt,Oklahoma,R
F,OregonGovBrown,Oregon,D
M,GovernorTomWolf,Pennsylvania,D
F,wandavazquezg,Puerto,NPP
F,GinaRaimondo,Rhode,D
M,henrymcmaster,South Carolina,R
F,govkristinoem,South Dakota,R
M,GovBillLee,Tennessee,R
M,GregAbbott_TX,Texas,R
M,GovHerbert,Utah,R
M,GovPhilScott,Vermont,R
M,GovernorVA,Virginia,D
M,GovInslee,Washington,D
M,WVGovernor,West Virginia,R
M,GovEvers,Wisconsin,D
M,GovernorGordon,Wyoming,R
F,louleonguerrero,Guam,D
